Reino;Nombre Cinetífico;Nombre Común;Estado de Conservación vigente;URL Ficha;
"Animalia";"Colorhamphus parvirostris";"Viudita";"";"https://simbio.mma.gob.cl/Especies/Details/4942";
"Animalia";"Hymenops perspicillatus";"Runrun";"";"https://simbio.mma.gob.cl/Especies/Details/4943";
"Animalia";"Casiornis rufus";"Burlisto castaño";"";"https://simbio.mma.gob.cl/Especies/Details/4945";
"Animalia";"Empidonomus aurantioatrocristatus";"Tuquito gris";"";"https://simbio.mma.gob.cl/Especies/Details/4946";
"Animalia";"Chrysomus ruficapillus";"Trile de cabeza canela";"";"https://simbio.mma.gob.cl/Especies/Details/4947";
"Animalia";"Agelasticus thilius";"Trile";"";"https://simbio.mma.gob.cl/Especies/Details/4948";
"Animalia";"Sturnella bellicosa";"Loica peruana";"";"https://simbio.mma.gob.cl/Especies/Details/4949";
"Animalia";"Sturnella superciliaris";"Loica argentina";"";"https://simbio.mma.gob.cl/Especies/Details/4950";
"Animalia";"Sturnella loyca";"Loica";"";"https://simbio.mma.gob.cl/Especies/Details/4951";
"Animalia";"Icterus galbula";"Turpial norteño";"";"https://simbio.mma.gob.cl/Especies/Details/4952";
"Animalia";"Molothrus bonariensis";"Mirlo";"";"https://simbio.mma.gob.cl/Especies/Details/4953";
"Animalia";"Dolichonyx oryzivorus";"Charlatán";"";"https://simbio.mma.gob.cl/Especies/Details/4954";
"Animalia";"Curaeus curaeus";"Tordo";"";"https://simbio.mma.gob.cl/Especies/Details/4955";
"Animalia";"Aphrastura spinicauda";"Rayadito";"";"https://simbio.mma.gob.cl/Especies/Details/4958";
"Animalia";"Aphrastura masafuerae";"Rayadito de Más Afuera";"En peligro crítico (CR)";"https://simbio.mma.gob.cl/Especies/Details/4959";
"Animalia";"Cinclodes antarcticus";"Churrete austral";"";"https://simbio.mma.gob.cl/Especies/Details/4960";
"Animalia";"Cinclodes nigrofumosus";"Churrete costero";"";"https://simbio.mma.gob.cl/Especies/Details/4961";
"Animalia";"Cinclodes oustaleti";"Churrete chico";"";"https://simbio.mma.gob.cl/Especies/Details/4962";
"Animalia";"Cinclodes patagonicus";"Churrete";"";"https://simbio.mma.gob.cl/Especies/Details/4963";
"Animalia";"Cinclodes atacamensis";"Churrete de alas blancas";"";"https://simbio.mma.gob.cl/Especies/Details/4964";
"Animalia";"Cinclodes fuscus";"Churrete acanelado";"";"https://simbio.mma.gob.cl/Especies/Details/4965";
"Animalia";"Leptasthenura aegithaloides";"Tijeral";"";"https://simbio.mma.gob.cl/Especies/Details/4966";
"Animalia";"Leptasthenura striata";"Tijeral listado";"";"https://simbio.mma.gob.cl/Especies/Details/4967";
"Animalia";"Upucerthia validirostris";"Bandurrilla de la puna";"";"https://simbio.mma.gob.cl/Especies/Details/4968";
"Animalia";"Upucerthia albigula";"Bandurrilla de Arica";"";"https://simbio.mma.gob.cl/Especies/Details/4969";
