Especie ID;Nombre científico ;Nombre común;Clase;RCE;Titular;Fuente;Link;Usa N. Científico;Usa N. Común;Alcance;Es protagonsita;Tono predominante;Tiene foto;Endémica
45;Pristidactylus alvaroi;lagarto gruñidor de Álvaro;Reptilia;CR;Declaran al Lagarto gruñidor de Álvaro, especie endémica chilena, en «Peligro Crítico de Extinción;Fundación Terram;https://www.terram.cl/declaran-al-lagarto-grunidor-de-alvaro-especie-endemica-chilena-en-peligro-critico-de-extincion/;1;1;Nacional;1;Alarma / Crisis;1;Sí
46;Pseudorestias lirimensis;pez (genérico);Actinopterygii;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
47;Punctum conicum;caracol terrestre Punctum;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
48;Punctum depressum;caracol terrestre Punctum;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
49;Rhinoderma rufum;ranita ;Amphibia;CR;Gobierno retira más de 40 decretos ambientales: Entre ellos la protección a Ranita de Darwin y Pingüino de Humboldt;Meganoticias;https://www.meganoticias.cl/nacional/517253-gobierno-retira-mas-de-40-decretos-ambientales-proteccion-ranita-de-darwin-pinguino-de-humboldt-17-3-2026.html;1;1; Nacional;1; Denuncia/Conflicto;0;Sí
49;Rhinoderma rufum;ranita ;Amphibia;CR;La ranita descubierta por Charles Darwin en Chile busca salvarse de la extinción;EL PAÍS;https://elpais.com/chile/2026-02-23/la-ranita-descubierta-por-charles-darwin-en-chile-busca-salvarse-de-la-extincion.html;1;1; Nacional;0; Científico/Educativo;1;Sí
49;Rhinoderma rufum;ranita ;Amphibia;CR;Hongo letal amenaza la supervivencia de la ranita de Darwin;Noticias UNAB;https://noticias.unab.cl/investigacion-con-sello-unab-revela-como-un-hongo-letal-amenaza-la-supervivencia-de-la-ranita-de-darwin/;0;1; Nacional;0; Científico/Educativo;0;Sí
49;Rhinoderma rufum;ranita ;Amphibia;CR;Dilucidan cómo una enfermedad está extinguiendo a la ranita de Darwin: ya mató a su especie hermana;BioBioChile;https://www.biobiochile.cl/noticias/ciencia-y-tecnologia/ciencia/2026/01/08/dilucidan-como-una-enfermedad-esta-extinguiendo-a-la-ranita-de-darwin-ya-mato-a-su-especie-hermana.shtml;0;1; Nacional;0; Científico/Educativo;0;Sí
49;Rhinoderma rufum;ranita ;Amphibia;CR;Científico chileno lidera estudio clave sobre la extinción de la ranita de Darwin;24horas;https://www.24horas.cl/conciencia-24-7/ciencia/cientifico-chileno-estudio-extincion-ranita-darwin;0;1; Nacional;0; Científico/Educativo;0;Sí
49;Rhinoderma rufum;ranita ;Amphibia;CR;Alianza internacional en Huilo Huilo busca proteger a la Ranita de Darwin de hongo letal;Cooperativa.cl;https://www.cooperativa.cl/noticias/sociedad/fauna/alianza-internacional-en-huilo-huilo-busca-proteger-a-la-ranita-de/2026-02-06/124716.html;0;1; Nacional;0; Científico/Educativo;0;Sí
49;Rhinoderma rufum;ranita ;Amphibia;CR;Guardabosques chilenos y Zoólogico de Londres buscan salvar a la ranita de Darwin de la extinción;ADN Radio;https://www.adnradio.cl/2026/02/23/guardabosques-chilenos-y-zoologico-de-londres-buscan-salvar-a-la-ranita-de-darwin-de-la-extincion/;1;1; Nacional;0; Científico/Educativo;0;Sí
49;Rhinoderma rufum;ranita ;Amphibia;CR;Científico chileno lidera estudio que revela cómo un hongo letal está extinguiendo a la ranita de Darwin;Cooperativa Ciencia;https://www.cooperativaciencia.cl/medio-ambiente/2026/01/02/cientifico-chileno-lidera-estudio-que-revela-como-un-hongo-letal-esta-extinguiendo-a-la-ranita-de-darwin/;0;1; Nacional;0; Científico/Educativo;0;Sí
49;Rhinoderma rufum;ranita ;Amphibia;CR;Investigación chilena descubre cómo un hongo invasivo provoca epidemias letales en anfibios terrestres;BioBioChile;https://www.biobiochile.cl/noticias/ciencia-y-tecnologia/ciencia/2026/01/26/investigacion-chilena-descubre-como-un-hongo-invasivo-provoca-epidemias-letales-en-anfibios-terrestres.shtml;0;1; Nacional;0; Científico/Educativo;0;Sí
49;Rhinoderma rufum;ranita ;Amphibia;CR;Retiran decreto que protegía al pingüino de Humboldt;El Ovallino;https://www.elovallino.cl/retiran-decreto-que-protegia-al-pinguino-de-humboldt/;1;1;Nacional;1;Denuncia / Conflicto;0;Sí
49;Rhinoderma rufum;ranita ;Amphibia;CR;Contra ranita de Darwin, pingüino de Humboldt y áreas protegidas: Kast defiende retiro de 43 decretos medioambientales;Interferencia |;https://interferencia.cl/articulos/contra-ranita-de-darwin-pinguino-de-humboldt-y-areas-protegidas-kast-defiende-retiro-de-43;0;1;Nacional;1;Denuncia / Conflicto;0;Sí
49;Rhinoderma rufum;ranita ;Amphibia;CR;Contraloría aprueba plan para proteger a las Ranitas de Darwin tras revisión del Gobierno;Radio Paulina;https://radiopaulina.cl/2026/03/20/contraloria-aprueba-plan-para-proteger-a-las-ranitas-de-darwin-tras-revision-del-gobierno/;1;1;Nacional;1;Conservación / Positivo;0;Sí
49;Rhinoderma rufum;ranita ;Amphibia;CR;Revelan cómo el hongo quítrido se propaga y empuja a la ranita de Darwin a la extinción en Chile;El Mostrador;https://www.elmostrador.cl/agenda-pais/agenda-sustentable/2026/01/09/revelan-como-el-hongo-quitrido-se-propaga-y-empuja-a-la-ranita-de-darwin-a-la-extincion-en-chile/;0;1;Nacional;0;Alarma / Crisis;0;Sí
50;Sclerostomulus nitidus;borrachito;Insecta;CR;1000 genomas: el proyecto que busca construir el inventario más completo de la biodiversidad de Chile;Pontificia Universidad Católica de Chile;https://biologia.uc.cl/1000-genomas-el-proyecto-que-busca-construir-el-inventario-mas-completo-de-la-biodiversidad-de-chile/;1;1;Nacional;0;Científico / Educativo;0;Sí
51;Sephanoides fernandensis;picaflor de Juan Fernández;Aves;CR;Chile levanta el mayor registro genético de su biodiversidad;EL PAÍS;https://elpais.com/chile/2025-10-20/chile-levanta-el-mayor-registro-genetico-de-su-biodiversidad.html;0;1;Nacional;0;Científico / Educativo;1;Sí
52;Sterphus aurifrons;mosco de Juan Fernández, mosco de rostro dorado;Insecta;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
53;Succinea cryptica;caracol terrestre Succinea;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
54;Succinea cumingi;caracol terrestre Succinea;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
55;Succinea fernandi;caracol terrestre Succinea;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
56;Succinea masafuerae;caracol terrestre Succinea;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
57;Succinea rubicunda;caracol terrestre Succinea;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
58;Succinea semiglobosa;caracol terrestre Succinea;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
59;Succinea texta;caracol terrestre Succinea;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
60;Swiftia comauensis;gorgona amarilla-roja;Anthozoa;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
61;Telmatobius chusmisensis;sapo;Amphibia;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
62;Telmatobius dankoi;sapo de Danko;Amphibia;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
63;Telmatobius fronteriensis;sapo ;Amphibia;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
64;Telmatobius halli;sapo ;Amphibia;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
65;Telmatobius vilamensis;rana de Vilama;Amphibia;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
66;Tornatellina aperta;caracol terrestre Tornatellina;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
67;Tornatellina bilamellata;caracol terrestre Tornatellina;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
68;Tornatellina callosa;caracol terrestre Tornatellina;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
69;Tornatellina plicosa;caracol terrestre Tornatellina;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
70;Tornatellina reclusiana;caracol terrestre Tornatellina;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
