NOMBRE COMÚN;NOMBRE CIENTÍFICO;REINO;CLASE;ENDÉMICA respecto de Chile;DISTRIBUCIÓN REGIONES;Arica y Parinacota;Tarapaca;Antofagasta;Atacama;Coquimbo;Valparaíso continental;Metropolitana;O'Higgins;Maule;Ñuble;Bío-Bío;Araucanía;De Los Ríos;De Los Lagos;Aysén;Insular;Antártica;Isla de Pascua;Salas y Gómez;Juan Fernández;Desventuradas;CATEGORÍA VIGENTE
Karachi, orestias;Orestias ascotanensis;Animalia;Actinopterygii;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Karachi, orestias;Orestias chungarensis;Animalia;Actinopterygii;Sí;XV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Karachi, orestias;Orestias laucaensis;Animalia;Actinopterygii;Sí;XV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Karachi, orestias;Orestias parinacotensis;Animalia;Actinopterygii;Sí;XV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Gusano aterciopelado, onicóforo (genérico);Paropisthopatus umbrinus;Animalia;Udeonycophora;Sí;V;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Carmelita;Percilia gillissi;Animalia;Actinopterygii;Sí;V-X;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;EN
Carmelita de Concepción;Percilia irwini;Animalia;Actinopterygii;Sí;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;EN
;Phyllopetalia altarensis;Animalia;Insecta;Sí;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Matuasto de Bibron;Phymaturus bibronii;Animalia;Reptilia;Sí;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Matuasto de Darwin, lagarto de cola gruesa;Phymaturus darwini;Animalia;Reptilia;Sí;V-RM;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Matuasto;Phymaturus maulense;Animalia;Reptilia;Sí;VII;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;EN
Caracol de árbol araucano, caracol de árbol;Plectostylus araucanus;Animalia;Gastropoda;Sí;VII-XVI;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;EN
Vaquita;Praocis aenea;Animalia;Insecta;Sí;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Vaquita del bicentenario;Praocis bicentenario;Animalia;Insecta;Sí;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Gruñidor de Valeria;Pristidactylus valeriae;Animalia;Reptilia;Sí;V-RM;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Gruñidor de El Volcán;Pristidactylus volcanensis;Animalia;Reptilia;Sí;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Caracol terrestre Ptychodon;Ptychodon oculta;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Caracol terrestre Ptychodon;Ptychodon skottsberg;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
;Scotobius planicosta;Animalia;Insecta;Sí;I-III;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Caracol terrestre Succinea;Succinea fragilis;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Caracol terrestre Succinea;Succinea mamillata;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Caracol terrestre Succinea;Succinea pinguis;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Sapo de Pefaur;Telmatobius pefauri;Animalia;Amphibia;Sí;XV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN-RARA
Sapo de Philippi;Telmatobius philippii;Animalia;Amphibia;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Sapo de Zapahuira;Telmatobius zapahuirensis;Animalia;Amphibia;Sí;XV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN-RARA
Rana montana de Los Queules;Telmatobufo ignotus;Animalia;Amphibia;Sí;VII;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;EN
Sapo hermoso;Telmatobufo venustus;Animalia;Amphibia;Sí;VII-VIII;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;EN
Caracol terrestre Tornatellina;Tornatellina minuta;Animalia;Gastropoda;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN
Bagrecito;Trichomycterus chiltoni;Animalia;Actinopterygii;Sí;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;EN-RARA
Bagrecito;Trichomycterus chungaraensis;Animalia;Actinopterygii;Sí;XV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN-RARA
Bagrecito;Trichomycterus laucaensis;Animalia;Actinopterygii;Sí;XV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Bagrecito;Trichomycterus rivulatus;Animalia;Actinopterygii;Sí;XV-I;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN-RARA
Langosta de Ureta, langosta de Lila, langosta de La Chimba;Uretacris lilai;Animalia;Insecta;Sí;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Mosca florícola valdiviana gigante;Valdiviomyia gigantea;Animalia;Insecta;Sí;IX-X;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;EN
Camarón;Virilastacus rucapihuelensis;Animalia;Malacostraca;Sí;X;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;EN
;;;;;;;;;;;;;;;;;;;;;;;;;;;
