REGIÓN;NOMBRE COMÚN;NOMBRE CIENTÍFICO;REINO;CLASE;ENDÉMICA respecto de Chile;CATEGORÍA VIGENTE
Bío-Bío (VIII);Sapo de Isla Mocha;Eupsophus insularis;Animalia;Amphibia;Sí;EN-RARA
Bío-Bío (VIII);Sapo de Nahuelbuta;Eupsophus nahuelbutensis;Animalia;Amphibia;Sí;EN-RARA
Bío-Bío (VIII);Lagarto del escorial, Slag Lizard (Inglés);Liolaemus scorialis;Animalia;Reptilia;Sí;EN
Bío-Bío (VIII);Lagartija pintada septentrional, Northern Painted Lizard (Inglés);Liolaemus septentrionalis;Animalia;Reptilia;Sí;EN
Bío-Bío (VIII);Zorro de Chiloé;Lycalopex fulvipes;Animalia;Mammalia;Sí;EN
Bío-Bío (VIII);Lamprea de agua dulce;Mordacia lapicida;Animalia;Cephalaspidomorphi;Sí;EN
Bío-Bío (VIII);Bagre grande;Nematogenys inermis;Animalia;Actinopterygii;Sí;EN
Bío-Bío (VIII);Carmelita;Percilia gillissi;Animalia;Actinopterygii;Sí;EN
Bío-Bío (VIII);Carmelita de Concepción;Percilia irwini;Animalia;Actinopterygii;Sí;EN
Bío-Bío (VIII);Caracol de árbol araucano, caracol de árbol;Plectostylus araucanus;Animalia;Gastropoda;Sí;EN
Bío-Bío (VIII);Sapo hermoso;Telmatobufo venustus;Animalia;Amphibia;Sí;EN
Bío-Bío (VIII);Bagrecito;Trichomycterus chiltoni;Animalia;Actinopterygii;Sí;EN-RARA
Araucanía (IX);Pancora;Aegla denticulata;Animalia;Malacostraca;Sí;CR
Araucanía (IX);;Nigroperla costalis;Animalia;Insecta;Sí;CR
Araucanía (IX);;Paraholopterus nahuelbutensis;Animalia;Insecta;Sí;CR
Araucanía (IX);Sapo de Barros;Alsodes barrioi;Animalia;Amphibia;Sí;EN-RARA
Araucanía (IX);Liguay, sanguijuela gigante valdiviana;Americobdella valdiviana;Animalia;Clitellata;Sí;EN
