REGIÓN;NOMBRE COMÚN;NOMBRE CIENTÍFICO;REINO;CLASE;ENDÉMICA respecto de Chile;CATEGORÍA VIGENTE
Juan Fernández;Caracol terrestre Amphidoxa;Amphidoxa helicophantoides;Animalia;Gastropoda;Sí;EN
Juan Fernández;Caracol terrestre Amphidoxa;Amphidoxa marmorella;Animalia;Gastropoda;Sí;EN
Juan Fernández;Caracol terrestre Amphidoxa;Amphidoxa pusio;Animalia;Gastropoda;Sí;EN
Juan Fernández;Caracol terrestre Amphidoxa;Amphidoxa quadrata;Animalia;Gastropoda;Sí;EN
Juan Fernández;Caracol terrestre Amphidoxa;Amphidoxa selkirki;Animalia;Gastropoda;Sí;EN
Juan Fernández;Caracol terrestre Amphidoxa;Amphidoxa tessellata;Animalia;Gastropoda;Sí;EN
Juan Fernández;Cachudito de Juan Fernández ;Anairetes fernandezianus;Animalia;Aves;Sí;EN-RARA
Juan Fernández;Caracol terrestre Charopa;Charopa involuta;Animalia;Gastropoda;Sí;EN
Juan Fernández;Caracol terrestre Charopa;Charopa masafuerae;Animalia;Gastropoda;Sí;EN
Juan Fernández;Cernícalo de Juan Fernández;Falco sparverius fernandenzis;Animalia;Aves;Sí;EN
Juan Fernández;Caracol terrestre de Juan Fernández;Fernandezia bulimoides;Animalia;Gastropoda;Sí;EN
Juan Fernández;Caracol terrestre de Juan Fernández;Fernandezia conifera;Animalia;Gastropoda;Sí;EN
Juan Fernández;Caracol terrestre de Juan Fernández;Fernandezia consimilis;Animalia;Gastropoda;Sí;EN
Juan Fernández;Caracol terrestre de Juan Fernández;Fernandezia cylindrella;Animalia;Gastropoda;Sí;EN
Juan Fernández;Caracol terrestre de Juan Fernández;Fernandezia diaphana;Animalia;Gastropoda;Sí;EN
Juan Fernández;Caracol terrestre de Juan Fernández;Fernandezia expansa;Animalia;Gastropoda;Sí;EN
Juan Fernández;Caracol terrestre de Juan Fernández;Fernandezia inornata;Animalia;Gastropoda;Sí;EN
Juan Fernández;Caracol terrestre de Juan Fernández;Fernandezia longa;Animalia;Gastropoda;Sí;EN
Juan Fernández;Caracol terrestre de Juan Fernández;Fernandezia philippiana;Animalia;Gastropoda;Sí;EN
Juan Fernández;Caracol terrestre de Juan Fernández;Fernandezia splendida;Animalia;Gastropoda;Sí;EN
Juan Fernández;Caracol terrestre de Juan Fernández;Fernandezia tryoni;Animalia;Gastropoda;Sí;EN
Juan Fernández;Caracol terrestre de Juan Fernández;Fernandezia wilsoni;Animalia;Gastropoda;Sí;EN
Juan Fernández;Caracol terrestre Ptychodon;Ptychodon oculta;Animalia;Gastropoda;Sí;EN
Juan Fernández;Caracol terrestre Ptychodon;Ptychodon skottsberg;Animalia;Gastropoda;Sí;EN
Juan Fernández;Caracol terrestre Succinea;Succinea fragilis;Animalia;Gastropoda;Sí;EN
Juan Fernández;Caracol terrestre Succinea;Succinea mamillata;Animalia;Gastropoda;Sí;EN
Juan Fernández;Caracol terrestre Succinea;Succinea pinguis;Animalia;Gastropoda;Sí;EN
Juan Fernández;Caracol terrestre Tornatellina;Tornatellina minuta;Animalia;Gastropoda;Sí;EN
Desventuradas;Cernícalo de Juan Fernández;Falco sparverius fernandenzis;Animalia;Aves;Sí;EN
